Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
wikipedia.csv,1,718,1,718,0,0,0.0781169999991107,73530,0
wikipedia.csv,1,718,1,718,0,0,0.076866000001246,74727,0
wikipedia.csv,1,718,1,718,0,0,1.7024810000002617,3373,0
wikipedia.csv,1,722,1,722,0,0,34.85338600000068,165,0
wikipedia.csv,1,718,1,718,0,0,0.0925640000004932,62054,0
wikipedia.csv,1,718,1,718,0,0,0.0820240000011836,70028,0
wikipedia.csv,1,722,1,722,0,0,23.475006000000576,246,0
wikipedia.csv,1,718,1,718,0,0,0.074466999998549,77134,0
wikipedia.csv,1,718,1,718,0,0,0.0741269999998621,77488,0
wikipedia.csv,1,722,1,722,0,0,50.85628600000018,113,0
wikipedia.csv,1,718,1,718,0,0,0.0701669999998557,81861,0
wikipedia.csv,1,718,1,718,0,0,0.0779579999998532,73680,0
wikipedia.csv,1,722,1,722,0,0,15.439746000000014,374,0
wikipedia.csv,1,718,1,718,0,0,0.0773079999999026,74300,0
wikipedia.csv,1,718,1,718,0,0,0.0748419999999896,76748,0
wikipedia.csv,1,722,1,722,0,0,18.368852999999945,314,0
wikipedia.csv,1,718,1,718,0,0,0.081399999999121,70565,0
wikipedia.csv,1,718,1,718,0,0,0.0855830000000423,67116,0
wikipedia.csv,1,722,1,722,0,0,34.77887499999997,166,0
wikipedia.csv,1,718,1,718,0,0,0.0905320000001665,63447,0
wikipedia.csv,1,718,1,718,0,0,0.0904659999996511,63493,0
wikipedia.csv,1,722,1,722,0,0,34.95551699999851,165,0
wikipedia.csv,1,718,1,718,0,0,0.0732049999987793,78464,0
wikipedia.csv,1,718,1,718,0,0,0.0773399999998218,74269,0
wikipedia.csv,1,718,1,718,0,0,13.7554540000001,417,0
youtube.csv,1,717,1,717,0,0,247.348418,23,0
youtube.csv,1,722,1,722,0,0,243.547009,23,0
youtube.csv,1,1466,0,0,1,1466,0.1177980000000005,0,99560
youtube.csv,1,737,1,737,0,0,177.387593,33,0
