Website,Time,Length,Protocol,Info
4,39.617807,92,1,6
4,39.617936,92,1,6
4,39.64645,131,0,15
4,39.64645,93,0,15
4,39.64645,93,0,15
4,39.651897,54,1,6
4,39.651983,93,0,15
4,39.672892,92,1,6
4,39.771553,1466,1,6
4,39.771644,1466,1,6
4,39.771677,698,0,15
4,39.771695,1466,1,6
4,39.771706,1466,1,6
4,39.771716,697,0,15
4,39.785787,92,1,6
4,39.785801,92,1,6
4,39.785983,92,1,6
4,39.785983,92,1,6
4,39.799528,1466,1,6
4,39.79959,1466,1,6
4,39.799605,383,0,15
4,39.808602,131,0,15
4,39.808602,93,0,15
4,39.808816,93,0,15
4,39.809453,131,0,15
4,39.809453,93,0,15
4,39.813509,92,1,6
4,39.813633,54,1,6
4,39.813721,54,1,6
4,39.81375,93,0,15
4,39.818061,92,1,6
4,39.825204,92,1,6
4,39.873689,135,0,15
4,39.87407,1466,0,15
4,39.87407,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,1466,0,15
4,39.874156,241,0,15
4,39.874156,93,0,15
4,39.877179,54,1,6
4,39.877253,54,1,6
4,39.877284,54,1,6
4,39.877308,54,1,6
4,39.877331,54,1,6
4,39.877362,54,1,6
4,39.877393,93,0,15
4,39.890837,92,1,6
4,40.946501,1466,1,6
4,40.946591,1193,0,15
4,40.946626,1466,1,6
4,40.94665,1466,1,6
4,40.946707,876,0,15
4,40.961263,92,1,6
4,40.961263,92,1,6
4,40.961672,92,1,6
4,40.999079,610,0,15
4,40.999079,1466,0,15
4,40.999179,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1466,0,15
4,41.0,1157,0,15
4,41.0,322,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,1466,0,15
4,41.000733,564,0,11
4,41.001568,93,0,15
4,41.005573,54,1,6
4,41.005626,54,1,6
4,41.005642,54,1,6
4,41.005652,54,1,6
4,41.005662,54,1,6
4,41.005672,54,1,6
4,41.005682,54,1,6
4,41.005692,54,1,6
4,41.005702,54,1,6
4,41.005712,54,1,6
4,41.005722,54,1,6
4,41.005732,54,1,6
4,41.005742,54,1,6
4,41.005756,93,0,15
4,41.022361,92,1,6
4,42.413744,1466,1,6
4,42.413817,1190,0,15
4,42.413838,1466,1,6
4,42.413854,1466,1,6
4,42.41387,876,0,15
4,42.425856,92,1,6
4,42.425856,92,1,6
4,42.42607,92,1,6
4,42.47503,607,0,15
4,42.47503,1466,0,15
4,42.47503,1466,0,15
4,42.475412,1466,0,15
4,42.475412,1466,0,15
4,42.475412,1466,0,15
4,42.475412,1466,0,15
4,42.475412,1466,0,15
4,42.475686,1466,0,15
4,42.475686,1466,0,15
4,42.4757,1466,0,15
4,42.4757,1154,0,15
4,42.4757,325,0,15
4,42.476102,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,1466,0,15
4,42.476615,380,0,15
4,42.477032,124,0,11
4,42.481628,54,1,6
4,42.481719,54,1,6
4,42.481748,54,1,6
4,42.481771,54,1,6
4,42.481794,54,1,6
4,42.481816,54,1,6
4,42.481838,54,1,6
4,42.48186,54,1,6
4,42.481924,54,1,6
4,42.481959,54,1,6
4,42.481988,54,1,6
4,42.482031,54,1,6
4,42.482069,54,1,6
4,42.4821,93,0,15
4,42.497439,92,1,6
4,43.110201,1466,1,6
4,43.110291,1466,1,6
4,43.110326,728,0,15
4,43.123614,92,1,6
4,43.123627,92,1,6
4,43.124176,92,1,6
4,43.150502,131,0,15
4,43.150502,93,0,15
4,43.150502,93,0,15
4,43.155843,54,1,6
4,43.155889,93,0,15
4,43.196292,93,1,0
4,43.200945,66,1,6
4,43.225131,92,1,6
4,43.356247,1466,1,6
4,43.356339,1466,1,6
4,43.356368,726,0,15
4,43.369208,92,1,6
4,43.369208,92,1,6
4,43.369423,92,1,6
4,43.431085,131,0,15
4,43.431101,93,0,15
4,43.431101,93,0,15
4,43.437305,54,1,6
4,43.437404,93,0,15
4,43.456194,92,1,6
4,45.431466,1466,1,6
4,45.43153,1189,0,15
4,45.431567,1466,1,6
4,45.431582,1466,1,6
4,45.431592,876,0,15
4,45.439168,1466,1,6
4,45.439261,1466,1,6
4,45.439289,62,0,15
4,45.439313,1466,1,6
4,45.439337,1466,1,6
4,45.43936,1466,1,6
4,45.439384,1415,0,15
4,45.44344,92,1,6
4,45.44344,92,1,6
4,45.444339,92,1,6
4,45.455192,92,1,6
4,45.455192,92,1,6
4,45.455192,92,1,6
4,45.455192,92,1,6
4,45.487145,612,0,15
4,45.487511,1466,0,15
4,45.487511,1466,0,15
4,45.487511,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488516,1154,0,15
4,45.488516,1466,0,15
4,45.488516,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,1466,0,15
4,45.488761,883,0,11
4,45.488985,93,0,15
4,45.49202,54,1,6
4,45.492135,54,1,6
4,45.494018,54,1,6
4,45.494065,54,1,6
4,45.494078,54,1,6
4,45.494089,54,1,6
4,45.494098,54,1,6
4,45.494109,54,1,6
4,45.494119,54,1,6
4,45.494141,54,1,6
4,45.494173,54,1,6
4,45.494204,54,1,6
4,45.494234,54,1,6
4,45.494265,93,0,15
4,45.514668,92,1,6
4,45.744533,592,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1154,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1450,0,11
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.745245,1466,0,15
4,45.74562,1466,0,15
4,45.74562,1466,0,15
4,45.745771,1466,0,15
4,45.745771,1466,0,15
4,45.745771,1466,0,15
4,45.745771,1466,0,15
4,45.745771,1466,0,15
4,45.745771,1466,0,15
4,45.745771,320,0,10
4,45.74868,54,1,6
4,45.748758,54,1,6
4,45.748775,54,1,6
4,45.748786,54,1,6
4,45.748796,54,1,6
4,45.748806,54,1,6
4,45.748816,54,1,6
4,45.748827,54,1,6
4,45.748837,54,1,6
4,45.748848,54,1,6
4,45.748873,54,1,6
4,45.748888,54,1,6
4,45.748915,54,1,6
4,45.752795,54,1,6
4,45.752844,54,1,6
4,45.752863,54,1,6
4,45.752936,54,1,6
4,45.752951,54,1,6
4,45.752957,93,0,15
4,45.765064,92,1,6
4,46.47298,1466,1,6
4,46.473003,1466,1,6
